"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"41709",11461859,2021-08-21,2021-08-21,1,2,11,"Agencia_2",101,"Cancelled"
"41710",11461857,2021-08-21,2021-08-21,1,2,11,"Agencia_2",101,"Cancelled"
"41711",10595366,2021-03-24,2021-03-25,1,2,11,"Agencia_2",29.99,"Cancelled"
"41712",10835336,2021-05-19,2021-06-26,2,2,11,"Agencia_2",55.8,"Cancelled"
"41713",10595582,2021-03-24,2021-04-10,2,2,11,"Agencia_2",29.995,"Cancelled"
"41714",10595859,2021-03-24,2021-03-26,2,2,11,"Agencia_2",45.995,"Cancelled"
"41715",10595936,2021-03-24,2021-04-23,1,2,11,"Agencia_2",29.99,"Cancelled"
"41716",11460875,2021-08-20,2021-08-21,1,2,11,"Agencia_2",101,"Cancelled"
"41717",10831896,2021-05-18,2021-06-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41718",10596145,2021-03-24,2021-03-27,1,2,11,"Agencia_2",50.99,"Cancelled"
"41719",10581057,2021-03-20,2021-03-26,1,2,11,"Agencia_2",29.99,"Cancelled"
"41720",10596375,2021-03-24,2021-04-24,1,2,11,"Agencia_2",29.99,"Cancelled"
"41721",10596488,2021-03-24,2021-05-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41722",10596757,2021-03-24,2021-04-08,1,2,11,"Agencia_2",29.99,"Cancelled"
"41723",10596814,2021-03-24,2021-04-04,1,2,11,"Agencia_2",29.99,"Cancelled"
"41724",10596843,2021-03-24,2021-05-15,1,2,11,"Agencia_2",29.99,"Cancelled"
"41725",10832260,2021-05-18,2021-06-05,1,2,11,"Agencia_2",83.7,"Cancelled"
"41726",10604767,2021-03-26,2021-03-31,1,2,11,"Agencia_2",29.99,"Cancelled"
"41727",10597246,2021-03-24,2021-04-05,3,2,11,"Agencia_2",32.5033333333333,"Cancelled"
"41728",10597345,2021-03-24,2021-03-25,1,2,11,"Agencia_2",29.99,"Cancelled"
"41729",11466641,2021-08-22,2021-08-22,5,1,11,"Agencia_2",84.6,"Cancelled"
"41730",10602055,2021-03-26,2021-04-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41731",10597341,2021-03-24,2021-04-02,2,2,11,"Agencia_2",29.995,"Cancelled"
"41732",10597432,2021-03-24,2021-03-29,1,2,11,"Agencia_2",29.99,"Cancelled"
"41733",11461959,2021-08-21,2021-08-22,2,2,11,"Agencia_2",71,"Cancelled"
"41734",11467206,2021-08-22,2021-08-22,1,2,11,"Agencia_2",61,"Cancelled"
